id,lat,lon,user,uid,version,changeset,timestamp
318365,53.3978167,-1.3019117,PeterEastern,4951,6,9647720,2011-10-24T21:13:35Z
26783041,53.3735931,-1.4787207,Meersbrook,412560,3,12879705,2012-08-27T13:59:06Z
29880324,53.3389436,-1.6010365,mike142sl,583378,3,14721562,2013-01-20T15:27:05Z
145361504,53.3867302,-1.4604958,alpha2424,358273,5,11625618,2012-05-17T18:05:15Z
207515477,53.4015014,-1.5192963,Warofdreams,26825,2,9349595,2011-09-20T09:17:22Z
246708421,53.355094,-1.4502135,twain,19735,2,870182,2009-03-29T18:47:29Z
250638820,53.359991,-1.4752186,Meersbrook,412560,4,11977391,2012-06-22T10:27:01Z
253252956,53.3816881,-1.5628237,davidec,3882,2,6858116,2011-01-04T08:42:50Z
256103999,53.4111014,-1.5350163,sparky_lad,10314,1,66125,2008-04-06T17:53:23Z
262065530,53.4301741,-1.5317051,Warofdreams,26825,2,11427281,2012-04-26T19:34:45Z
275451120,53.4136347,-1.4769281,Warofdreams,26825,2,9222956,2011-09-05T23:53:52Z
281797494,53.3338005,-1.351094,Warofdreams,26825,2,835305,2009-03-20T15:15:48Z
290521049,53.4170296,-1.3134447,dbisping,28024,2,16902496,2013-07-10T17:04:36Z
309239983,53.3337563,-1.5498141,Meersbrook,412560,3,7658345,2011-03-24T19:11:12Z
314048241,53.4596153,-1.4709654,Warofdreams,26825,2,34203374,2015-09-23T11:17:58Z
332671733,53.3574834,-1.5001856,Meersbrook,412560,3,13213605,2012-09-22T22:10:58Z
356665297,53.3190063,-1.4918859,Warofdreams,26825,2,9864404,2011-11-18T14:47:41Z
364504479,53.3371167,-1.5214961,twain,19735,1,840185,2009-03-21T21:01:42Z
370151388,53.3060444,-1.4589168,Warofdreams,26825,2,38819966,2016-04-23T19:45:32Z
385557819,53.3614553,-1.3491614,twain,19735,1,981062,2009-04-26T21:28:40Z
392504501,53.4512928,-1.5601119,InTheUK,104845,1,1122384,2009-05-08T23:29:44Z
443867443,53.3802893,-1.3074237,Mot,79583,2,1903357,2009-07-22T11:17:09Z
469775616,53.4530039,-1.3778213,Andrew Chadwick,27408,1,2177382,2009-08-17T13:28:12Z
502442665,53.3453249,-1.4363971,NaPTAN,104459,1,2538438,2009-09-19T20:55:55Z
577568320,53.4313738,-1.3487284,Warofdreams,26825,2,36083807,2015-12-21T12:03:46Z
676678322,53.3358525,-1.4654489,Warofdreams,26825,2,7570411,2011-03-15T21:09:53Z
705065652,53.3492025,-1.3988799,Warofdreams,26825,2,10130496,2011-12-16T12:28:09Z
718417734,53.4187939,-1.3980179,dysteleologist,17427,2,8279423,2011-05-29T10:27:35Z
726561972,53.4133189,-1.418793,Warofdreams,26825,1,4639404,2010-05-08T14:18:48Z
736404356,53.3246105,-1.3219059,Warofdreams,26825,1,4716479,2010-05-16T12:38:21Z
765643035,53.3556628,-1.322674,Warofdreams,26825,1,4916349,2010-06-06T10:42:44Z
819064714,53.3564202,-1.4515045,Warofdreams,26825,2,6988583,2011-01-16T15:04:40Z
888462382,53.4026497,-1.4189659,Captain Tancredi,209340,1,5634846,2010-08-30T10:36:25Z
961556959,53.3434452,-1.4803379,Warofdreams,26825,1,6145177,2010-10-23T13:48:36Z
1014466335,53.3856675,-1.488844,twain,19735,1,6503484,2010-12-01T13:05:17Z
1033732822,53.3937697,-1.4933194,twain,19735,1,6628160,2010-12-11T18:59:36Z
1048987426,53.3942057,-1.4968684,twain,19735,1,6706592,2010-12-19T14:37:15Z
1052479634,53.3747221,-1.4503329,Warofdreams,26825,1,6719600,2010-12-20T20:33:23Z
1054259638,53.3583125,-1.5865215,NailsSheffield,108524,1,6723436,2010-12-21T11:35:43Z
1066884978,53.3995549,-1.5056202,twain,19735,1,6773821,2010-12-27T00:53:30Z
1071509910,53.3983936,-1.46806,twain,19735,1,6803003,2010-12-29T20:31:08Z
1077932241,53.3897452,-1.4969853,twain,19735,1,6834792,2011-01-02T02:39:14Z
1081180975,53.3904815,-1.4905951,twain,19735,1,6855861,2011-01-03T22:41:43Z
1083992291,53.3700874,-1.4770993,denisbourke,1233791,2,18714835,2013-11-04T16:17:52Z
1092721342,53.3685168,-1.4766967,denisbourke,1233791,2,18714835,2013-11-04T16:17:54Z
1094957101,53.3599195,-1.4537699,Warofdreams,26825,1,6919374,2011-01-09T19:34:49Z
1098548992,53.3580677,-1.4632388,Warofdreams,26825,1,6940899,2011-01-11T20:59:57Z
1104633004,53.3565502,-1.4608449,Warofdreams,26825,1,6977912,2011-01-15T15:50:27Z
1105305686,53.3392622,-1.3780492,Warofdreams,26825,1,6981666,2011-01-15T21:03:18Z
1106409445,53.3582888,-1.4429649,Warofdreams,26825,1,6990584,2011-01-16T17:34:25Z
1109446490,53.353446,-1.4775805,Warofdreams,26825,1,7014111,2011-01-18T19:57:25Z
1110756930,53.3935452,-1.4448819,Warofdreams,26825,1,7024366,2011-01-19T20:18:46Z
1115940590,53.3695052,-1.483747,Warofdreams,26825,1,7053433,2011-01-22T19:03:36Z
1117014731,53.3656723,-1.4880728,Warofdreams,26825,1,7062903,2011-01-23T15:50:27Z
1117567423,53.3624455,-1.4830202,Warofdreams,26825,1,7066852,2011-01-23T20:46:04Z
1122289000,53.381301,-1.4631541,Meersbrook,412560,2,9887544,2011-11-20T17:55:52Z
1127989152,53.3897973,-1.5323815,alpha2424,358273,2,11560267,2012-05-10T16:15:33Z
1129571774,53.358742,-1.4351905,Warofdreams,26825,1,7146584,2011-01-31T16:57:35Z
1132449038,53.3615502,-1.4892467,Warofdreams,26825,1,7166171,2011-02-02T16:32:07Z
1134166552,53.3560066,-1.4880399,Warofdreams,26825,1,7176444,2011-02-03T19:01:28Z
1136481498,53.3691658,-1.4254877,Warofdreams,26825,1,7188021,2011-02-04T22:26:57Z
1142732073,53.3666582,-1.4985421,Warofdreams,26825,1,7229562,2011-02-08T20:11:14Z
1150828180,53.3709959,-1.4883498,Warofdreams,26825,1,7274498,2011-02-13T12:10:39Z
1155514368,53.3532171,-1.4496545,Warofdreams,26825,1,7300233,2011-02-15T23:36:25Z
1160277065,53.3522052,-1.4894145,Warofdreams,26825,1,7327824,2011-02-18T23:56:14Z
1161571246,53.3608809,-1.5073144,Warofdreams,26825,1,7333002,2011-02-19T15:56:35Z
1163673956,53.3617045,-1.5111002,Warofdreams,26825,1,7344706,2011-02-20T16:46:22Z
1166966226,53.3847124,-1.4607621,Meersbrook,412560,2,11924105,2012-06-17T10:46:49Z
1172290504,53.3595736,-1.5125731,Warofdreams,26825,1,7390922,2011-02-25T14:35:19Z
1176020784,53.3085301,-1.5371713,Meersbrook,412560,1,7405907,2011-02-27T00:07:31Z
1177442895,53.3946312,-1.4334638,Warofdreams,26825,1,7412851,2011-02-27T17:02:47Z
1183351976,53.3445771,-1.4770945,Warofdreams,26825,1,7440543,2011-03-02T20:04:00Z
1188014534,53.3264382,-1.5423251,Meersbrook,412560,1,7467646,2011-03-05T21:18:08Z
1188888254,53.3181208,-1.5403081,Meersbrook,412560,1,7471075,2011-03-06T09:46:29Z
1189639840,53.3774686,-1.4856837,Warofdreams,26825,1,7476628,2011-03-06T18:17:55Z
1193253536,53.3742248,-1.4955124,Warofdreams,26825,1,7497532,2011-03-08T20:14:07Z
1196022846,53.3699352,-1.4989969,Warofdreams,26825,1,7519132,2011-03-10T22:31:41Z
1197442873,53.3438072,-1.4656461,Warofdreams,26825,1,7527487,2011-03-11T21:33:46Z
1199287181,53.3542774,-1.5026257,Warofdreams,26825,1,7538504,2011-03-12T21:30:05Z
1200409304,53.3786903,-1.4661308,Meersbrook,412560,2,12554931,2012-07-30T22:32:04Z
1203664048,53.340107,-1.4629442,Warofdreams,26825,1,7570411,2011-03-15T21:21:22Z
1208661964,53.381237,-1.4603284,Meersbrook,412560,1,7603691,2011-03-19T11:25:01Z
1210633352,53.3758112,-1.5017838,Warofdreams,26825,1,7617665,2011-03-20T15:23:22Z
1215206610,53.3763311,-1.5079079,Warofdreams,26825,1,7649221,2011-03-23T19:15:19Z
1216235375,53.3425791,-1.4143615,Warofdreams,26825,2,9431430,2011-09-29T22:29:05Z
1218308410,53.3417719,-1.5557269,Meersbrook,412560,1,7671257,2011-03-26T00:16:36Z
1219165937,53.3415997,-1.558881,Meersbrook,412560,1,7676067,2011-03-26T15:30:34Z
1221334750,53.3662644,-1.5246536,Warofdreams,26825,1,7684706,2011-03-27T11:25:59Z
