id,key,value,type
318394,ref,33,regular
318394,name,Catcliffe Roundabout,regular
318394,odbl,clean,regular
318394,highway,motorway_junction,regular
318409,ref,33,regular
318409,name,Catcliffe Roundabout,regular
318409,highway,motorway_junction,regular
318428,ref,34,regular
318428,name,Tinsley,regular
318428,odbl,clean,regular
318428,highway,motorway_junction,regular
318446,highway,motorway_junction,regular
318446,name,Tinsley,regular
318446,ref,34,regular
318473,highway,motorway_junction,regular
318473,name,Thorpe Hesley,regular
318473,ref,35,regular
318480,source,Bing,regular
422164,name,Meadowhall Interchange,regular
422164,train,yes,regular
422164,railway,stop,regular
422164,public_transport,stop_position,regular
21026821,highway,traffic_signals,regular
21026838,created_by,JOSM,regular
21026844,created_by,JOSM,regular
21026867,highway,traffic_signals,regular
21026881,created_by,JOSM,regular
21026882,created_by,JOSM,regular
21026884,highway,traffic_signals,regular
21026975,highway,traffic_signals,regular
21026975,crossing,traffic_signals,regular
21026975,crossing_ref,zebra,regular
21027003,highway,traffic_signals,regular
21027016,highway,traffic_signals,regular
21027016,crossing,traffic_signals,regular
21027016,sloped_kerb,yes,regular
21027016,crossing_ref,zebra,regular
21027023,highway,motorway_junction,regular
21027023,name,University Square,regular
21027023,ref,6,regular
21027028,highway,motorway_junction,regular
21027028,name,University Square,regular
21027028,ref,6,regular
21027031,highway,motorway_junction,regular
21027031,name,Moore Street,regular
21027031,ref,5,regular
21027037,highway,motorway_junction,regular
21027037,name,Moore Street,regular
21027037,ref,5,regular
21027054,bicycle,yes,regular
21027054,highway,crossing,regular
21027054,crossing,traffic_signals,regular
21027054,crossing_ref,toucan,regular
21027063,highway,crossing,regular
21027129,created_by,JOSM,regular
21027130,created_by,JOSM,regular
21027141,created_by,JOSM,regular
21027147,highway,traffic_signals,regular
21027147,crossing,traffic_signals,regular
21027150,highway,crossing,regular
21027150,crossing,traffic_signals,regular
21027150,crossing_ref,zebra,regular
21027152,highway,traffic_signals,regular
21027152,crossing,traffic_signals,regular
21027190,highway,crossing,regular
21027190,crossing,pelican,regular
21027207,highway,crossing,regular
21027207,crossing,traffic_signals,regular
21027207,crossing_ref,pelican,regular
21027217,created_by,JOSM,regular
21027218,created_by,JOSM,regular
21027219,created_by,JOSM,regular
21027220,created_by,JOSM,regular
21027225,highway,crossing,regular
21027225,crossing,traffic_signals,regular
21027225,crossing_ref,pelican,regular
21027227,highway,crossing,regular
21027227,crossing,traffic_signals,regular
21027237,highway,traffic_signals,regular
21027247,created_by,JOSM,regular
21027253,created_by,JOSM,regular
21027254,created_by,JOSM,regular
21027255,created_by,JOSM,regular
21322507,created_by,JOSM,regular
21322545,created_by,JOSM,regular
21322547,created_by,JOSM,regular
21322548,created_by,JOSM,regular
21322549,created_by,JOSM,regular
21322800,created_by,JOSM,regular
21322801,created_by,JOSM,regular
21322802,created_by,JOSM,regular
21652308,name,Woodhouse,regular
21652308,train,yes,regular
21652308,railway,stop,regular
21652308,public_transport,stop_position,regular
21652770,railway,switch,regular
21710715,created_by,JOSM,regular
21710737,source,Bing,regular
21710737,highway,turning_circle,regular
21710777,created_by,JOSM,regular
21710790,highway,traffic_signals,regular
21710800,highway,traffic_signals,regular
21710802,highway,traffic_signals,regular
21710803,highway,traffic_signals,regular
21710804,highway,traffic_signals,regular
21710815,highway,traffic_signals,regular
21710834,created_by,JOSM,regular
21710842,highway,traffic_signals,regular
21712583,created_by,JOSM,regular
21712588,created_by,JOSM,regular
21712632,created_by,JOSM,regular
21712633,source,Bing,regular
21712633,highway,turning_circle,regular
21712656,name,The Old Grindstone,regular
21712656,amenity,pub,regular
21712895,name,Noah's Ark,regular
21712895,amenity,pub,regular
21712895,created_by,JOSM,regular
21718487,name,Cobden View,regular
21718487,amenity,pub,regular
21718488,highway,crossing,regular
21718499,created_by,JOSM,regular
21718515,highway,traffic_signals,regular
21720281,created_by,JOSM,regular
21720282,created_by,JOSM,regular
21720284,created_by,JOSM,regular
21720287,created_by,JOSM,regular
21720290,created_by,JOSM,regular
21720291,created_by,JOSM,regular
21720306,created_by,JOSM,regular
21720336,created_by,JOSM,regular
21720343,created_by,JOSM,regular
21720345,created_by,JOSM,regular
21720346,created_by,JOSM,regular
21720347,created_by,JOSM,regular
21720348,created_by,JOSM,regular
21720349,created_by,JOSM,regular
21720350,created_by,JOSM,regular
21720351,created_by,JOSM,regular
21720352,created_by,JOSM,regular
21720353,created_by,JOSM,regular
21720354,created_by,JOSM,regular
21720712,amenity,telephone,regular
21720713,amenity,post_box,regular
21720713,created_by,JOSM,regular
21736847,created_by,JOSM,regular
21736848,created_by,JOSM,regular
21736863,created_by,JOSM,regular
21736898,source,Bing,regular
21736898,highway,turning_circle,regular
21736903,highway,turning_circle,regular
21740795,created_by,JOSM,regular
21740797,created_by,JOSM,regular
21740799,created_by,JOSM,regular
21740801,created_by,JOSM,regular
21740811,created_by,JOSM,regular
21740828,name,Pan and Animals,regular
21740828,tourism,artwork,regular
21740828,artwork_type,statue,regular
21740876,highway,traffic_signals,regular
21740881,highway,traffic_signals,regular
21740881,crossing,traffic_signals,regular
21740907,amenity,post_box,regular
21740907,created_by,JOSM,regular
21746533,created_by,JOSM,regular
21754251,created_by,JOSM,regular
21754259,created_by,JOSM,regular
21754271,created_by,JOSM,regular
21754379,bicycle,yes,regular
21754379,highway,traffic_signals,regular
21754379,crossing,traffic_signals,regular
21754379,crossing_ref,toucan,regular
21754410,created_by,JOSM,regular
21754436,highway,traffic_signals,regular
21754438,highway,traffic_signals,regular
21754446,created_by,JOSM,regular
21754477,highway,traffic_signals,regular
21754479,highway,traffic_signals,regular
21754481,highway,traffic_signals,regular
21754490,highway,traffic_signals,regular
21754497,created_by,JOSM,regular
21766077,created_by,JOSM,regular
21766087,created_by,JOSM,regular
21766133,created_by,JOSM,regular
21766144,source,Bing,regular
21766144,highway,turning_circle,regular
21951754,source,Bing,regular
21951754,highway,turning_circle,regular
21951877,created_by,JOSM,regular
21951936,highway,traffic_signals,regular
21951936,crossing,traffic_signals,regular
21951987,created_by,JOSM,regular
21951997,created_by,JOSM,regular
22032368,created_by,JOSM,regular
22032370,created_by,JOSM,regular
22032373,created_by,JOSM,regular
22032502,created_by,JOSM,regular
22032504,created_by,JOSM,regular
22032506,created_by,JOSM,regular
22032508,created_by,JOSM,regular
22032540,created_by,JOSM,regular
22032558,created_by,JOSM,regular
22032898,created_by,JOSM,regular
22032900,created_by,JOSM,regular
22032910,created_by,JOSM,regular
22032912,created_by,JOSM,regular
22032928,created_by,JOSM,regular
22032998,created_by,JOSM,regular
22033017,created_by,JOSM,regular
22033020,created_by,JOSM,regular
22033105,created_by,JOSM,regular
22033114,created_by,JOSM,regular
22033124,created_by,JOSM,regular
24941640,highway,traffic_signals,regular
24941645,name,Hillsborough Park,regular
24941645,railway,tram_stop,regular
24941645,shelter,yes,regular
24941645,wheelchair,yes,regular
24941662,highway,traffic_signals,regular
24941665,created_by,JOSM,regular
24941725,created_by,JOSM,regular
24941726,created_by,JOSM,regular
24941757,highway,crossing,regular
24941771,highway,traffic_signals,regular
25274589,created_by,JOSM,regular
25274590,created_by,JOSM,regular
25274591,created_by,JOSM,regular
25274596,created_by,JOSM,regular
25274597,created_by,JOSM,regular
25274602,created_by,JOSM,regular
25274603,created_by,JOSM,regular
25274605,created_by,JOSM,regular
25274614,source,gps,regular
25274614,created_by,Andrew.Rowbottom,regular
25316617,created_by,JOSM,regular
25316669,created_by,JOSM,regular
25316671,created_by,JOSM,regular
25316690,created_by,JOSM,regular
25316692,created_by,JOSM,regular
25316693,created_by,JOSM,regular
25316701,created_by,JOSM,regular
25316738,created_by,JOSM,regular
25316773,highway,traffic_signals,regular
25316774,highway,traffic_signals,regular
25316789,highway,traffic_signals,regular
25316791,highway,motorway_junction,regular
25316791,name,Granville Square,regular
25316791,ref,3,regular
25316888,created_by,JOSM,regular
25316901,created_by,JOSM,regular
25316912,created_by,JOSM,regular
25316917,created_by,JOSM,regular
25316925,created_by,JOSM,regular
25316926,created_by,JOSM,regular
25316929,created_by,JOSM,regular
25316930,created_by,JOSM,regular
25319810,highway,traffic_signals,regular
25340644,created_by,JOSM,regular
25374181,highway,traffic_signals,regular
25374182,highway,motorway_junction,regular
25374182,name,Park Square,regular
25374182,ref,2,regular
25374194,highway,motorway_junction,regular
25374194,name,Park Square,regular
25374194,ref,2,regular
25374197,created_by,JOSM,regular
25374206,created_by,JOSM,regular
25374256,created_by,JOSM,regular
25967474,highway,crossing,regular
25967474,crossing_ref,pelican,regular
26166056,source,GPS waypoint,regular
26166056,amenity,telephone,regular
26166056,created_by,xybot,regular
26166056,upload_tag,avantman42,regular
26620567,created_by,JOSM,regular
26620569,created_by,JOSM,regular
26621445,created_by,JOSM,regular
26621450,created_by,JOSM,regular
26621451,created_by,JOSM,regular
26621544,highway,crossing,regular
26621544,crossing,traffic_signals,regular
26621544,created_by,osm2go v0.6-8debian1,regular
26707182,created_by,JOSM,regular
26707183,created_by,JOSM,regular
26707186,created_by,JOSM,regular
26707217,created_by,JOSM,regular
26707229,created_by,JOSM,regular
26707230,created_by,JOSM,regular
26707357,highway,traffic_signals,regular
26707362,source,Bing,regular
26707362,highway,turning_circle,regular
26707381,created_by,JOSM,regular
26707448,created_by,JOSM,regular
26707466,source,Bing,regular
26707466,highway,turning_circle,regular
26707508,created_by,JOSM,regular
26707516,source,Bing,regular
26707516,highway,turning_circle,regular
26707524,created_by,JOSM,regular
26707529,created_by,JOSM,regular
26708613,source,Bing,regular
26708613,highway,turning_circle,regular
26708617,source,Bing,regular
26708617,highway,turning_circle,regular
26708629,created_by,JOSM,regular
26708641,highway,turning_circle,regular
26708642,highway,turning_circle,regular
26708644,highway,turning_circle,regular
26708646,source,Bing,regular
26708646,highway,turning_circle,regular
26708647,highway,turning_circle,regular
26708671,traffic_calming,table,regular
26708676,foot,yes,regular
26708676,horse,yes,regular
26708676,barrier,cycle_barrier,regular
26708676,bicycle,yes,regular
26708718,traffic_calming,table,regular
26708721,traffic_calming,table,regular
26708766,source,Bing,regular
26708766,highway,turning_circle,regular
26708769,source,Bing,regular
26708769,highway,turning_circle,regular
26708779,traffic_calming,choker,regular
26708783,source,Bing,regular
26708783,highway,turning_circle,regular
26708788,source,Bing,regular
26708788,highway,turning_circle,regular
26708790,source,Bing,regular
26708790,highway,turning_circle,regular
26708808,highway,turning_circle,regular
26708839,traffic_calming,table,regular
26708852,traffic_calming,table,regular
26709497,source,Bing,regular
26709497,highway,turning_circle,regular
26709512,source,Bing,regular
26709512,highway,turning_circle,regular
26709524,source,Bing,regular
26709524,highway,turning_circle,regular
26709785,source,Bing,regular
26709785,highway,turning_circle,regular
26710406,created_by,JOSM,regular
26711883,created_by,JOSM,regular
26711888,highway,traffic_signals,regular
26711891,highway,traffic_signals,regular
26711907,highway,turning_circle,regular
26711910,highway,turning_circle,regular
26711985,created_by,JOSM,regular
26711997,highway,traffic_signals,regular
26712484,source,Bing,regular
26712484,highway,turning_circle,regular
26712487,source,Bing,regular
26712487,highway,turning_circle,regular
26712500,source,Bing,regular
26712500,highway,turning_circle,regular
26715567,created_by,JOSM,regular
26715571,created_by,JOSM,regular
26715577,created_by,JOSM,regular
26715584,created_by,JOSM,regular
26755709,highway,crossing,regular
26755709,crossing_ref,toucan,regular
26755721,created_by,JOSM,regular
26755729,created_by,JOSM,regular
26755735,created_by,JOSM,regular
26755739,highway,traffic_signals,regular
26755752,barrier,bollard,regular
26755760,foot,yes,regular
26755760,barrier,bollard,regular
26755760,bicycle,yes,regular
26755802,highway,traffic_signals,regular
26756033,name,The Gardeners Rest,regular
26756033,amenity,pub,regular
26756679,created_by,JOSM,regular
26763859,created_by,JOSM,regular
26770051,ref,S10 1138,regular
26770051,amenity,post_box,regular
26770051,postal_code,S10,regular
26770054,created_by,JOSM,regular
26770077,name,Tapton Hill Congregational Church,regular
26770077,amenity,place_of_worship,regular
26770077,religion,christian,regular
